Longitude,Latitude,Depth (km),Length,Width,Strike,Dip,Rake,Slip,UnitSrc
119.38,1.62,11.99,10.80902,22.81069,24.22,21,156.432,9.1,acsza31
119.43,1.71,11.99,11.27853,22.48787,28.34,21,152.312,9.1,acsza31
119.49,1.78,11.99,14.96729,19.32565,54.99,21,125.662,9.1,acsza31
119.57,1.84,11.99,14.84121,19.30271,55.3,21,125.352,9.1,acsza31
119.66,1.89,11.99,15.11072,18.75324,59.73,21,120.922,9.1,acsza31
119.75,1.94,11.99,14.90356,18.86947,59.73,21,120.922,9.1,acsza31
119.84,1.98,11.99,15.67545,15.87457,76.43,21,104.222,9.1,acsza31
119.94,2.0,11.99,15.86799,14.48905,83.28,21,97.372,9.1,acsza31
120.04,2.01,11.99,15.6259,14.47561,83.28,21,97.372,9.1,acsza31
120.14,2.02,11.99,15.43314,13.7778,86.75,21,93.902,9.1,acsza31
120.24,2.03,11.99,15.19788,13.52505,87.61,21,93.042,9.1,acsza31
120.34,2.03,11.99,14.94894,13.42609,87.61,21,93.042,9.1,acsza31
120.45,2.04,11.99,14.70001,13.32713,87.61,21,93.042,9.1,acsza31
120.55,2.05,11.99,14.25528,14.78755,79.66,21,100.992,9.1,acsza31
120.65,2.07,11.99,13.95257,15.44606,76.6,21,104.052,9.1,acsza31
120.75,2.09,11.99,13.7426,15.56319,76.6,21,104.052,9.1,acsza31
120.85,2.11,11.99,13.54221,15.54166,77.9,21,102.752,9.1,acsza31
120.94,2.11,11.99,13.44461,15.26154,100.23,21,80.422,9.1,acsza31
121.04,2.1,11.99,13.22469,15.07883,100.23,21,80.422,9.1,acsza31
121.15,2.08,11.99,13.00477,14.89612,100.23,21,80.422,9.1,acsza31
121.25,2.06,11.99,12.78023,14.77739,100.23,21,80.422,9.1,acsza31
121.35,2.04,11.99,12.55379,14.68505,100.23,21,80.422,9.1,acsza31
121.45,2.03,11.99,12.44855,12.77597,89.99,21,90.662,9.1,acsza31
121.55,2.04,11.99,12.24009,13.3004,87.35,21,93.302,9.1,acsza31
121.65,2.04,11.99,11.99669,13.46237,87.35,21,93.302,9.1,acsza31
121.75,2.04,11.99,11.75306,13.62434,87.35,21,93.302,9.1,acsza31
121.85,2.05,11.99,11.50913,13.78809,87.35,21,93.302,9.1,acsza31
121.95,2.05,11.99,11.42936,13.55351,89.5,21,91.152,9.1,acsza31
122.06,2.05,11.99,11.57547,14.61541,95.32,21,85.332,9.1,acsza31
122.16,2.04,11.99,11.8157,14.62384,95.32,21,85.332,9.1,acsza31
122.26,2.03,11.99,12.05593,14.63226,95.32,21,85.332,9.1,acsza31
119.44,1.5,14.29,10.69646,22.60172,24.14,21,156.512,9.1,acsza31
119.48,1.59,14.29,11.10129,22.33208,27.92,21,152.732,9.1,acsza31
119.54,1.66,14.29,14.62081,19.29675,54.1,21,126.552,9.1,acsza31
119.62,1.72,14.29,14.68171,19.11251,55.64,21,125.012,9.1,acsza31
119.71,1.77,14.29,14.90356,18.63701,59.71,21,120.942,9.1,acsza31
119.79,1.82,14.29,14.69641,18.75324,59.71,21,120.942,9.1,acsza31
119.88,1.86,14.29,15.40038,15.96856,75.62,21,105.032,9.1,acsza31
119.98,1.88,14.29,15.6259,14.50248,83.07,21,97.582,9.1,acsza31
120.08,1.89,14.29,15.38381,14.48905,83.07,21,97.582,9.1,acsza31
120.18,1.9,14.29,15.18557,13.85967,86.25,21,94.402,9.1,acsza31
120.28,1.91,14.29,14.94894,13.62401,87.05,21,93.602,9.1,acsza31
120.38,1.91,14.29,14.70001,13.52505,87.05,21,93.602,9.1,acsza31
120.48,1.92,14.29,14.45107,13.42609,87.05,21,93.602,9.1,acsza31
120.58,1.93,14.29,14.0281,14.73057,79.74,21,100.912,9.1,acsza31
120.67,1.95,14.29,13.73378,15.32893,76.93,21,103.722,9.1,acsza31
120.77,1.97,14.29,13.53263,15.32269,77.56,21,103.092,9.1,acsza31
120.87,1.99,14.29,13.33453,15.28524,78.97,21,101.682,9.1,acsza31
120.97,1.99,14.29,13.22469,15.07883,99.5,21,81.152,9.1,acsza31
121.06,1.98,14.29,13.00477,14.89612,99.5,21,81.152,9.1,acsza31
121.16,1.96,14.29,12.78485,14.71342,99.5,21,81.152,9.1,acsza31
121.26,1.95,14.29,12.5557,14.65866,99.83,21,80.822,9.1,acsza31
121.36,1.93,14.29,12.32735,14.59272,99.96,21,80.692,9.1,acsza31
121.46,1.92,14.29,12.20865,12.88493,90.56,21,90.092,9.1,acsza31
121.56,1.92,14.29,11.99669,13.13843,88.13,21,92.522,9.1,acsza31
121.66,1.92,14.29,11.75329,13.3004,88.13,21,92.522,9.1,acsza31
121.76,1.93,14.29,11.50944,13.4606,88.14,21,92.512,9.1,acsza31
121.85,1.93,14.29,11.2652,13.62187,88.15,21,92.502,9.1,acsza31
121.95,1.93,14.29,11.18642,13.57852,90.13,21,90.522,9.1,acsza31
122.05,1.92,14.29,11.33524,14.62384,95.47,21,85.182,9.1,acsza31
122.15,1.91,14.29,11.57547,14.63226,95.47,21,85.182,9.1,acsza31
122.25,1.9,14.29,11.8157,14.64069,95.47,21,85.182,9.1,acsza31
119.49,1.39,17.22,10.5839,22.39275,24.05,21,156.602,9.1,acsza31
119.53,1.48,17.22,10.92406,22.17629,27.48,21,153.172,9.1,acsza31
119.59,1.55,17.22,14.27432,19.26785,53.15,21,127.502,9.1,acsza31
119.67,1.6,17.22,14.52222,18.92232,56.0,21,124.652,9.1,acsza31
119.76,1.66,17.22,14.69641,18.52078,59.7,21,120.952,9.1,acsza31
119.84,1.71,17.22,14.48925,18.63701,59.7,21,120.952,9.1,acsza31
119.93,1.74,17.22,15.1253,16.06256,74.77,21,105.882,9.1,acsza31
120.02,1.76,17.22,15.38381,14.51591,82.85,21,97.802,9.1,acsza31
120.12,1.77,17.22,15.14172,14.50248,82.85,21,97.802,9.1,acsza31
120.22,1.78,17.22,14.938,13.94154,85.74,21,94.912,9.1,acsza31
